,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,TxID_1,TxID_2
120,0x754662f3162d2565235d1bd56718d8d3f1016944,USDC,Avalanche,Fantom,BNB CHAIN,620a730ad3ea681f35ebbb8d,620a7406d3ea681f35ebbbaf
121,0x3a52c7df1bb5e70a0a13e9c9c00f258fe9da68fd,USDC,Avalanche,Fantom,BNB CHAIN,620aa630d3ea681f35ebc398,620aa69ad3ea681f35ebc39f
122,0xbe47430010c3eb40188c72e6d77ad1111abb8177,USDC,Avalanche,Fantom,Ethereum,6210a0ec9e1cf703a57a345f,6210a1a19e1cf703a57a3476
123,0x65d1152413e532350b6463c6335490a09c687871,WELT,Polygon,BNB CHAIN,Polygon,620ba16f854f936fad8970e6,620ba2ea854f936fad89712f
124,0x33d84d2a77d850b13053a1496d25cc58b145aa13,BIFI,BNB CHAIN,Fantom,BNB CHAIN,62129c1711d45e0a49689f16,62129cde9e1cf703a57a7f37
125,0x486569ab60a865855d10c48d09475bb702c6a7d5,USDC,Avalanche,Fantom,BNB CHAIN,62095e75d3ea681f35eb9464,62095eb3d3ea681f35eb9470
126,0x486569ab60a865855d10c48d09475bb702c6a7d5,USDC,BNB CHAIN,Fantom,Avalanche,620a5a77d3ea681f35ebb778,620a5af5d3ea681f35ebb786
127,0xc0af16725bd379f2de5fe860ea2943b82e89121f,BELUGA,Fantom,BNB CHAIN,Polygon,620ec881dcf15fd1a4281abc,620ec93562d48eee70ee5b7c
128,0x4ac07d9325b91ed1fa0bb7e26b4f56f4124c2e60,AVAX,Avalanche,Fantom,Avalanche,6209b8b3d3ea681f35eba22b,6209bb0ad3ea681f35eba27b
129,0x48de880869eae3ff014260a5c2fadeb11018b495,SPELL,Ethereum,Avalanche,BNB CHAIN,620dd5313c8253c5fb8bd4ff,620dd6363c8253c5fb8bd556
130,0x48de880869eae3ff014260a5c2fadeb11018b495,SPELL,Avalanche,BNB CHAIN,Fantom,620dd6363c8253c5fb8bd556,620dd7313c8253c5fb8bd5ab
131,0xbff54b44f72f9b722cd05e2e6e49202ba98fe244,USDT,BNB CHAIN,Avalanche,BNB CHAIN,620fce8311d45e0a4967116f,620fd09e11d45e0a496712d1
132,0xea4d7a720fbfeca7286bdd5594ca9bb127ea242f,USDT,Polygon,BNB CHAIN,Fantom,620b8461854f936fad896898,620b86c6854f936fad89694f
133,0xbd485523bb960b27c38d3f9ad47f0d3a384e69ce,BNB,Fantom,BNB CHAIN,Fantom,620c3ccdd3ea681f35ec0490,620c3dfcd3ea681f35ec04c5
134,0xcb018790c03bdfd33a82354dee4e320f1398d66f,BIFI,BNB CHAIN,Fantom,BNB CHAIN,620c76ed854f936fad89c62e,620c785ad3ea681f35ec0d86
135,0xcb018790c03bdfd33a82354dee4e320f1398d66f,USDC,Fantom,Avalanche,BNB CHAIN,62111d7d11d45e0a496798ff,6211268b11d45e0a49679d8b
136,0x8457b708cdefe34ebc9f9167a3fbdc26d4cbc180,MIMIR,BNB CHAIN,Ethereum,BNB CHAIN,621017569e1cf703a57a2475,621018c211d45e0a496738ce
137,0x8457b708cdefe34ebc9f9167a3fbdc26d4cbc180,MIMIR,Ethereum,BNB CHAIN,Ethereum,621018c211d45e0a496738ce,62101b199e1cf703a57a24ea
138,0xdd7ec43863408cd689bba63260cce5926fe80c7d,USDC,Fantom,Avalanche,BNB CHAIN,6212acef11d45e0a4968a277,6212adf111d45e0a4968a2d2
139,0xc7b65c91609d3eee03401aa569ba41902404e38d,USDC,BNB CHAIN,Fantom,Ethereum,620b1aa9d3ea681f35ebd434,620b1b1ad3ea681f35ebd443
140,0x5a6a74039a8af1233d899e85cab5304c63d9aae1,DAI,Avalanche,Fantom,Avalanche,620e0f7e9e7d5ed1f4f41186,620e10519e7d5ed1f4f4119e
141,0xbb571c55410f3edd55f6cc239ad7ab23661abac3,USDC,Avalanche,Fantom,BNB CHAIN,620c938ed3ea681f35ec111c,620c94edd3ea681f35ec1152
142,0xc417a2d6597cb54ec46cd22382f8fc288e58f50e,ETH,BNB CHAIN,Ethereum,BNB CHAIN,621055759e1cf703a57a2bd3,621056cd11d45e0a496753d5
143,0xf8a40c92fe15c40e0ea5d8470d9e4c87f5cd96cd,AVAX,Fantom,Avalanche,Fantom,620b14c2d3ea681f35ebd364,620b15f1d3ea681f35ebd38e
144,0x7967d013f76324c1844297e31c4eb4d98dbfa3a5,USDC,Avalanche,Fantom,Polygon,621013e29e1cf703a57a23fe,621014889e1cf703a57a2417
145,0x08fc2fb6d3c5c0feaaf2fe1c8aa6a58b6ffce134,USDC,Ethereum,Fantom,BNB CHAIN,620bdcb3d3ea681f35ebf3cf,620bded6d3ea681f35ebf44c
146,0x745b22931ef3c9c228a71a469d82ce39253f171f,USDC,Ethereum,Fantom,Avalanche,620b22d2d3ea681f35ebd54d,620b238fd3ea681f35ebd566
